date,water_elevation,timestamp
2024-12-14 00:00:00,303.73,2024-12-13 19:00:00-05:00
2024-12-14 01:00:00,303.81,2024-12-13 20:00:00-05:00
2024-12-14 02:00:00,303.76,2024-12-13 21:00:00-05:00
2024-12-14 03:00:00,303.8,2024-12-13 22:00:00-05:00
2024-12-14 04:00:00,303.75,2024-12-13 23:00:00-05:00
2024-12-14 05:00:00,303.83,2024-12-14 00:00:00-05:00
2024-12-14 06:00:00,303.92,2024-12-14 01:00:00-05:00
2024-12-14 07:00:00,303.88,2024-12-14 02:00:00-05:00
2024-12-14 08:00:00,303.88,2024-12-14 03:00:00-05:00
2024-12-14 09:00:00,303.97,2024-12-14 04:00:00-05:00
2024-12-14 10:00:00,303.94,2024-12-14 05:00:00-05:00
2024-12-14 11:00:00,303.92,2024-12-14 06:00:00-05:00
2024-12-14 12:00:00,304.04,2024-12-14 07:00:00-05:00
2024-12-14 13:00:00,303.94,2024-12-14 08:00:00-05:00
2024-12-14 14:00:00,303.99,2024-12-14 09:00:00-05:00
2024-12-14 15:00:00,304.0,2024-12-14 10:00:00-05:00
2024-12-14 16:00:00,303.94,2024-12-14 11:00:00-05:00
2024-12-14 17:00:00,303.96,2024-12-14 12:00:00-05:00
2024-12-14 18:00:00,303.91,2024-12-14 13:00:00-05:00
2024-12-14 19:00:00,304.01,2024-12-14 14:00:00-05:00
2024-12-14 20:00:00,304.1,2024-12-14 15:00:00-05:00
2024-12-14 21:00:00,304.02,2024-12-14 16:00:00-05:00
2024-12-14 22:00:00,304.05,2024-12-14 17:00:00-05:00
2024-12-14 23:00:00,304.13,2024-12-14 18:00:00-05:00
2024-12-15 00:00:00,304.02,2024-12-14 19:00:00-05:00
2024-12-15 01:00:00,303.36,2024-12-14 20:00:00-05:00
2024-12-15 02:00:00,302.89,2024-12-14 21:00:00-05:00
2024-12-15 03:00:00,302.89,2024-12-14 22:00:00-05:00
2024-12-15 04:00:00,302.96,2024-12-14 23:00:00-05:00
2024-12-15 05:00:00,302.96,2024-12-15 00:00:00-05:00
2024-12-15 06:00:00,302.79,2024-12-15 01:00:00-05:00
2024-12-15 07:00:00,303.05,2024-12-15 02:00:00-05:00
2024-12-15 08:00:00,303.36,2024-12-15 03:00:00-05:00
2024-12-15 09:00:00,303.71,2024-12-15 04:00:00-05:00
2024-12-15 10:00:00,303.88,2024-12-15 05:00:00-05:00
2024-12-15 11:00:00,303.93,2024-12-15 06:00:00-05:00
2024-12-15 12:00:00,303.97,2024-12-15 07:00:00-05:00
2024-12-15 13:00:00,304.05,2024-12-15 08:00:00-05:00
2024-12-15 14:00:00,304.13,2024-12-15 09:00:00-05:00
2024-12-15 15:00:00,304.26,2024-12-15 10:00:00-05:00
2024-12-15 16:00:00,304.41,2024-12-15 11:00:00-05:00
2024-12-15 17:00:00,304.37,2024-12-15 12:00:00-05:00
2024-12-15 18:00:00,304.34,2024-12-15 13:00:00-05:00
2024-12-15 19:00:00,304.38,2024-12-15 14:00:00-05:00
2024-12-15 20:00:00,304.49,2024-12-15 15:00:00-05:00
2024-12-15 21:00:00,304.38,2024-12-15 16:00:00-05:00
2024-12-15 22:00:00,303.88,2024-12-15 17:00:00-05:00
2024-12-15 23:00:00,303.51,2024-12-15 18:00:00-05:00
2024-12-16 00:00:00,303.52,2024-12-15 19:00:00-05:00
2024-12-16 01:00:00,303.49,2024-12-15 20:00:00-05:00
2024-12-16 02:00:00,303.43,2024-12-15 21:00:00-05:00
2024-12-16 03:00:00,303.36,2024-12-15 22:00:00-05:00
2024-12-16 04:00:00,303.26,2024-12-15 23:00:00-05:00
2024-12-16 05:00:00,303.3,2024-12-16 00:00:00-05:00
2024-12-16 06:00:00,303.56,2024-12-16 01:00:00-05:00
2024-12-16 07:00:00,303.9,2024-12-16 02:00:00-05:00
2024-12-16 08:00:00,304.22,2024-12-16 03:00:00-05:00
2024-12-16 09:00:00,304.1,2024-12-16 04:00:00-05:00
2024-12-16 10:00:00,304.23,2024-12-16 05:00:00-05:00
2024-12-16 11:00:00,304.43,2024-12-16 06:00:00-05:00
2024-12-16 12:00:00,304.64,2024-12-16 07:00:00-05:00
2024-12-16 13:00:00,304.71,2024-12-16 08:00:00-05:00
2024-12-16 14:00:00,304.79,2024-12-16 09:00:00-05:00
2024-12-16 15:00:00,304.86,2024-12-16 10:00:00-05:00
2024-12-16 16:00:00,304.94,2024-12-16 11:00:00-05:00
2024-12-16 17:00:00,305.09,2024-12-16 12:00:00-05:00
2024-12-16 18:00:00,305.1,2024-12-16 13:00:00-05:00
2024-12-16 19:00:00,305.14,2024-12-16 14:00:00-05:00
2024-12-16 20:00:00,305.17,2024-12-16 15:00:00-05:00
2024-12-16 21:00:00,305.19,2024-12-16 16:00:00-05:00
2024-12-16 22:00:00,305.21,2024-12-16 17:00:00-05:00
2024-12-16 23:00:00,305.23,2024-12-16 18:00:00-05:00
2024-12-17 00:00:00,304.58,2024-12-16 19:00:00-05:00
